"V1","ref","spp","taxLvl","species","genus","family","order","class","phylum","kingdom","flag","val.src","tbl.row","mtch.src","tax.src","common","superclass","subphylum","trophicDiet","trophicOrig","Picture","trophicLevel","trophicLevel.se","tax.src2","conflict","website","website2","trohpicLevel"
"3497","LOLIGO PEALEII EGG MOPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3502","LOLLIGUNCULA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",2252,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
"3543","LUNATIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",758,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
"3583","LYTECHINUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",85,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
"3769","MAJIDAE F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",2198,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",TRUE,NA,NA,NA
"3771","MALACOCEPHALUS",NA,"bad",NA,"Alepocephalus",NA,"bad",NA,"bad",NA,"bad","m3",110,1,"taxInfo","bad","Osteichthyes","Vertebrata",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"3801","MEGANYCTIPHANES  SP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",2419,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
"3807","MELANOCETIDAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",2426,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
"3810","MELANOSTOMIAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",1714,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"3838","MERCENARIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",2441,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
"3874","MISCELLANEOUS INVERTEBRATES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",2489,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"3878","MITHRAX FORCEPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"added_automatically",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3908","MONACANTHUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",385,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
"3929","MUIDOPSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",7,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",TRUE,NA,NA,NA
"3961","MURICANTHUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",161,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",TRUE,NA,NA,NA
"4001","MYRIOTROCHUS SP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",2622,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
"4003","MYROPHIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",2005,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"4143","NARCINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",74,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
"4159","NEMASTOMACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"added_automatically",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4190","NEORAJA SINUSMEXICANUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"added_automatically",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4191","NEOSCOPELUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",917,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"4194","NEPHROPSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",1093,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
"4217","NIBILIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","m3",223,1,"taxInfo",NA,NA,NA,NA,NA,NA,NA,NA,"getTaxData",FALSE,NA,NA,NA
